"","NR_Name","NR_ID","sex","generation","father","mother","foster","gestational_diet","nursing_diet","weanling_diet","majority_diet","overall_diet","birth_date","death_date","litter_size","litter_order","notes","rbg100","rbg120","rbg140","rbg200","rbg300"
"669","T1560F",1781,"F",13,"T1085M","T1191F",NA,"Rab","Rab","Rod","Rod","Rod",2021-09-19,2022-01-09,5,2,"daughter of T1191F; Priority breeder; uncle has early onset diabetes",NA,NA,NA,NA,NA
"670","T1561M",1556,"M",12,"T1213M","T1256F",NA,"Rod","","",NA,NA,2021-09-24,2021-10-22,5,1,"No data",NA,NA,NA,NA,NA
"671","T1562F",1557,"F",12,"T1213M","T1256F",NA,"Rod","Rod","Rod","Rod","Rod",2021-09-24,2022-06-24,5,1,NA,20,20,28,28,NA
"672","T1563F",1558,"F",12,"T1213M","T1256F",NA,"Rod","Rod","Rod","Rod","Rod",2021-09-24,2022-04-08,5,1,NA,24,24,24,28,28
"673","T1564F",1559,"F",12,"T1213M","T1256F",NA,"Rod","Rod","Rod","Rod","Rod",2021-09-24,2022-06-03,5,1,NA,16,36,36,36,36
"674","T1565F",1560,"F",12,"T1213M","T1256F",NA,"Rod","Rod","Rod","Rod","Rod",2021-09-24,2022-06-24,5,1,NA,24,24,40,40,NA
"675","T1566M",1410,"M",11,"T1066M","T1054F",NA,"Rab","","",NA,NA,2021-09-25,2021-10-27,5,4,"No data",NA,NA,NA,NA,NA
"676","T1567M",1411,"M",11,"T1066M","T1054F",NA,"Rab","","",NA,NA,2021-09-25,2021-10-27,5,4,"No data",NA,NA,NA,NA,NA
"677","T1568F",1412,"F",11,"T1066M","T1054F",NA,"Rab","Rab","Rod","Rod","Rod",2021-09-25,2022-02-24,5,4,NA,NA,NA,NA,NA,NA
"678","T1569F",1413,"F",11,"T1066M","T1054F",NA,"Rab","Rab","Rod","Rod","Rod",2021-09-25,2022-03-23,5,4,NA,20,NA,NA,NA,NA
"679","T156M",318,"M",2,"T24M","T16F",NA,"Rod","Rod","Rod","Rod","Rod",2015-09-09,2017-03-17,2,1,"onset at 28wks; wt and RBG drop at the end",20,24,24,28,28
"680","T1570F",1414,"F",11,"T1066M","T1054F",NA,"Rab","Rab","Rod","Rod","Rod",2021-09-25,2022-02-25,5,4,NA,NA,NA,NA,NA,NA
"681","T1571M",1561,"M",12,"T1068M","T1198F",NA,"Rab","","",NA,NA,2021-09-26,2021-10-27,5,2,"No data",NA,NA,NA,NA,NA
"682","T1572M",1562,"M",12,"T1068M","T1198F",NA,"Rab","","",NA,NA,2021-09-26,2021-10-27,5,2,"No data",NA,NA,NA,NA,NA
"683","T1573M",1563,"M",12,"T1068M","T1198F",NA,"Rab","","",NA,NA,2021-09-26,2021-10-27,5,2,"No data",NA,NA,NA,NA,NA
"684","T1574F",1564,"F",12,"T1068M","T1198F",NA,"Rab","Rab","Rod","Rod","Rod",2021-09-26,2022-01-09,5,2,"daughter of T1198F; priority breeder to keep yellow line",NA,NA,NA,NA,NA
"685","T1575F",1565,"F",12,"T1068M","T1198F",NA,"Rab","Rab","Rod","Rod","Rod",2021-09-26,2022-02-25,5,2,"daughter of T1198F; priority breeder to keep yellow line",NA,NA,NA,NA,NA
"686","T1576M",1782,"M",13,"T1237M","T1192F",NA,"Rab","","",NA,NA,2021-09-25,2021-10-27,3,1,"No data",NA,NA,NA,NA,NA
"687","T1577F",1783,"F",13,"T1237M","T1192F",NA,"Rab","Rab","Rod","Rod","Rod",2021-09-25,2022-03-11,3,1,"Priority breeder; uncle has early onset diabetes",NA,NA,NA,NA,NA
"688","T1578F",1784,"F",13,"T1237M","T1192F",NA,"Rab","Rab","Rod","Rod","Rod",2021-09-25,2022-03-11,3,1,"Priority breeder; uncle has early onset diabetes",20,NA,NA,NA,NA
